Tila;Epoch-aika;Päivä;Kuukausi;Vuosi;Tunti;Minuutti;Määrä
1478;1573388040;10;11;2019;15;14;1
1478;1573389000;10;11;2019;15;30;1
1478;1573389960;10;11;2019;15;46;0
1478;1573390920;10;11;2019;16;02;0
1478;1573391880;10;11;2019;16;18;0
1478;1573392840;10;11;2019;16;34;0
1478;1573393800;10;11;2019;16;50;0
1478;1573394760;10;11;2019;17;06;0
1478;1573395720;10;11;2019;17;22;0
1478;1573396680;10;11;2019;17;38;0
1478;1573397640;10;11;2019;17;54;0
1478;1573398600;10;11;2019;18;10;0
1478;1573399560;10;11;2019;18;26;0
1478;1573400520;10;11;2019;18;42;0
1478;1573401480;10;11;2019;18;58;0
1478;1573402440;10;11;2019;19;14;0
1478;1573403400;10;11;2019;19;30;0
1478;1573404360;10;11;2019;19;46;0
1478;1573405320;10;11;2019;20;02;0
1478;1573406280;10;11;2019;20;18;0
1478;1573407240;10;11;2019;20;34;0
1478;1573408200;10;11;2019;20;50;0
1478;1573409160;10;11;2019;21;06;0
1478;1573410120;10;11;2019;21;22;0
1478;1573411080;10;11;2019;21;38;0
1478;1573412040;10;11;2019;21;54;0
1478;1573413000;10;11;2019;22;10;0
1478;1573413960;10;11;2019;22;26;0
1478;1573414920;10;11;2019;22;42;0
1478;1573415880;10;11;2019;22;58;0
1478;1573416840;10;11;2019;23;14;0
1478;1573417800;10;11;2019;23;30;0
1478;1573418760;10;11;2019;23;46;0
1478;1573419720;11;11;2019;00;02;0
1478;1573420680;11;11;2019;00;18;0
1478;1573421640;11;11;2019;00;34;0
1478;1573422600;11;11;2019;00;50;0
1478;1573423560;11;11;2019;01;06;0
1478;1573424520;11;11;2019;01;22;0
1478;1573425480;11;11;2019;01;38;0
1478;1573426440;11;11;2019;01;54;0
1478;1573427400;11;11;2019;02;10;0
1478;1573428360;11;11;2019;02;26;0
1478;1573429320;11;11;2019;02;42;0
1478;1573430280;11;11;2019;02;58;0
1478;1573431240;11;11;2019;03;14;0
1478;1573432200;11;11;2019;03;30;0
1478;1573433160;11;11;2019;03;46;0
1478;1573434120;11;11;2019;04;02;0
1478;1573435080;11;11;2019;04;18;0
1478;1573436040;11;11;2019;04;34;0
1478;1573437000;11;11;2019;04;50;0
1478;1573437960;11;11;2019;05;06;0
1478;1573438920;11;11;2019;05;22;0
1478;1573439880;11;11;2019;05;38;0
1478;1573440840;11;11;2019;05;54;0
1478;1573441800;11;11;2019;06;10;0
1478;1573442760;11;11;2019;06;26;0
1478;1573443720;11;11;2019;06;42;0
1478;1573444680;11;11;2019;06;58;0
1478;1573445640;11;11;2019;07;14;0
1478;1573446600;11;11;2019;07;30;0
1478;1573447560;11;11;2019;07;46;0
1478;1573448520;11;11;2019;08;02;0
1478;1573449480;11;11;2019;08;18;2
1478;1573450440;11;11;2019;08;34;3
1478;1573451400;11;11;2019;08;50;3
1478;1573452360;11;11;2019;09;06;3
1478;1573453320;11;11;2019;09;22;2
1478;1573454280;11;11;2019;09;38;2
1478;1573455240;11;11;2019;09;54;4
1478;1573456200;11;11;2019;10;10;12
1478;1573457160;11;11;2019;10;26;14
1478;1573458120;11;11;2019;10;42;14
1478;1573459080;11;11;2019;10;58;16
1478;1573460040;11;11;2019;11;14;14
1478;1573461000;11;11;2019;11;30;12
1478;1573461960;11;11;2019;11;46;5
1478;1573462920;11;11;2019;12;02;3
1478;1573463880;11;11;2019;12;18;6
1478;1573464840;11;11;2019;12;34;7
1478;1573465800;11;11;2019;12;50;6
1478;1573466760;11;11;2019;13;06;7
1478;1573467720;11;11;2019;13;22;7
1478;1573468680;11;11;2019;13;38;6
1478;1573469640;11;11;2019;13;54;12
1478;1573470600;11;11;2019;14;10;30
1478;1573471560;11;11;2019;14;26;32
1478;1573472520;11;11;2019;14;42;33
1478;1573473480;11;11;2019;14;58;32
1478;1573474440;11;11;2019;15;14;32
1478;1573475400;11;11;2019;15;30;32
1478;1573476360;11;11;2019;15;46;26
1478;1573477320;11;11;2019;16;02;26
1478;1573478280;11;11;2019;16;18;21
1478;1573479240;11;11;2019;16;34;15
1478;1573480200;11;11;2019;16;50;10
1478;1573481160;11;11;2019;17;06;6
1478;1573482120;11;11;2019;17;22;0
1478;1573483080;11;11;2019;17;38;0
1478;1573484040;11;11;2019;17;54;0
1478;1573485000;11;11;2019;18;10;0
1478;1573485960;11;11;2019;18;26;0
1478;1573486920;11;11;2019;18;42;0
1478;1573487880;11;11;2019;18;58;0
1478;1573488840;11;11;2019;19;14;0
1478;1573489800;11;11;2019;19;30;0
1478;1573490760;11;11;2019;19;46;0
1478;1573491720;11;11;2019;20;02;0
1478;1573492680;11;11;2019;20;18;0
1478;1573493640;11;11;2019;20;34;0
1478;1573494600;11;11;2019;20;50;0
1478;1573495560;11;11;2019;21;06;0
1478;1573496520;11;11;2019;21;22;0
